First,Last,Nickname,Height in cm,Weight in lbs,Reach in inches,Stance,W,L,D,Belt
Pablo,Alfonso,The Hurricane,172.72,145,0.0,0,9.0,7.0,0.0,0.0
Levi,Alford,0,0.0,0,0.0,0,1.0,7.0,0.0,0.0
Bill,Algeo,Senor Perfecto,182.88,145,185.42000000000002,Switch,17.0,7.0,0.0,0.0
Royce,Alger,0,177.8,199,0.0,Orthodox,3.0,2.0,0.0,0.0
Amir,Aliakbari,0,190.5,250,0.0,0,10.0,1.0,0.0,0.0
Sultan,Aliev,0,180.34,170,187.96,Orthodox,15.0,3.0,0.0,0.0
Nurullo,Aliev,Tajik Eagle,177.8,155,182.88,Orthodox,9.0,0.0,0.0,0.0
Ikram,Aliskerov,0,182.88,185,193.04,Southpaw,14.0,1.0,0.0,0.0
Leon,Aliu,The Albanian Lion,182.88,185,187.96,Orthodox,10.0,2.0,0.0,0.0
John,Allan,0,185.42,205,190.5,Orthodox,13.0,7.0,0.0,0.0
George,Allen,0,187.96,205,0.0,Open Stance,13.0,19.0,2.0,0.0
Arnold,Allen,Almighty,172.72,145,177.8,Southpaw,19.0,2.0,0.0,0.0
Brendan,Allen,All In,187.96,185,190.5,Orthodox,22.0,5.0,0.0,0.0
Ben,Alloway,Blanco,180.34,170,193.04,Orthodox,18.0,8.0,0.0,0.0
Assu,Almabayev,Zulfikar,0.0,125,0.0,0,17.0,2.0,0.0,0.0
Ricardo,Almeida,Big Dog,182.88,170,187.96,Orthodox,13.0,5.0,0.0,0.0
Magno,Almeida,0,182.88,155,0.0,0,10.0,3.0,0.0,0.0
Thomas,Almeida,Thominhas,170.18,145,177.8,Southpaw,22.0,5.0,0.0,0.0
Ericka,Almeida,0,167.64000000000001,115,0.0,Orthodox,7.0,3.0,0.0,0.0
Estefani,Almeida,0,162.56,125,0.0,Orthodox,7.0,3.0,0.0,0.0
Jailton,Almeida,Malhadinho,190.5,205,200.66,Orthodox,19.0,2.0,0.0,0.0
Lucas,Almeida,0,180.34,145,180.34,Orthodox,14.0,2.0,0.0,0.0
Cesar,Almeida,Cesinha,0.0,185,0.0,0,3.0,0.0,0.0,0.0
Mauricio,Alonso,0,187.96,170,0.0,0,13.0,7.0,0.0,0.0
Sarah,Alpar,Too Sweet,162.56,135,160.02,Southpaw,9.0,6.0,0.0,0.0
Ali,AlQaisi,The Royal Fighter,167.64000000000001,135,172.72,Orthodox,8.0,5.0,0.0,0.0
Rico,Altamirano,0,177.8,170,0.0,0,4.0,3.0,0.0,0.0
Victor,Altamirano,El Magnifico,172.72,125,177.8,Switch,12.0,3.0,0.0,0.0
Mike,Altman,0,177.8,185,0.0,Orthodox,1.0,4.0,0.0,0.0
Patricia,Alujas,El Angel,0.0,115,0.0,0,9.0,2.0,0.0,0.0
Sean,Alvarez,0,182.88,235,0.0,Orthodox,4.0,3.0,0.0,0.0
Eddie,Alvarez,0,175.26,155,175.26,Orthodox,29.0,6.0,0.0,0.0
Jaime,Alvarez,0,172.72,125,175.26,Orthodox,6.0,1.0,0.0,0.0
Joel,Alvarez,El Fenomeno,190.5,155,195.58,Orthodox,20.0,3.0,0.0,0.0
Thiago,Alves,Pitbull,175.26,170,177.8,Orthodox,23.0,15.0,0.0,0.0
Anthony,Alves,0,0.0,0,0.0,0,1.0,4.0,0.0,0.0
Amilcar,Alves,0,182.88,170,0.0,Southpaw,15.0,12.0,0.0,0.0
Warlley,Alves,0,180.34,170,182.88,Orthodox,15.0,6.0,0.0,0.0
Rafael,Alves,The Turn,172.72,155,172.72,Orthodox,20.0,12.0,0.0,0.0
Sam,Alvey,Smile'N,187.96,185,190.5,Southpaw,33.0,18.0,1.0,0.0
Andre,Amado,Dida,182.88,154,0.0,Orthodox,6.0,4.0,1.0,0.0
Adlan,Amagov,Borz,187.96,170,193.04,Orthodox,14.0,2.0,1.0,0.0
Maiara,Amanajas dos Santos,0,165.1,115,0.0,Southpaw,7.0,3.0,0.0,0.0
Rayanne,Amanda,0,157.48000000000002,115,157.48,Orthodox,11.0,6.0,0.0,0.0
Chris,Amarante,0,0.0,185,0.0,0,2.0,0.0,0.0,0.0
Jimmy,Ambriz,The Titan,187.96,315,0.0,Southpaw,17.0,21.0,1.0,0.0
JJ,Ambrose,0,177.8,170,0.0,Orthodox,28.0,7.0,0.0,0.0
Alen,Amedovski,0,177.8,185,187.96,Orthodox,8.0,4.0,0.0,0.0
Hyder,Amil,The Hurricane,0.0,145,0.0,0,7.0,0.0,0.0,0.0
Makwan,Amirkhani,Mr. Finland,177.8,145,182.88,Southpaw,17.0,9.0,0.0,0.0
Jaqueline,Amorim,0,160.02,115,172.72,Orthodox,6.0,1.0,0.0,0.0
Bertrand,Amoussou,0,172.72,190,0.0,Orthodox,1.0,1.0,0.0,0.0
Karl,Amoussou,The Psycho,180.34,185,0.0,Orthodox,27.0,7.0,2.0,0.0
Eryk,Anders,Ya Boi,185.42,185,190.5,Southpaw,15.0,8.0,0.0,0.0
Matt,Andersen,0,187.96,230,0.0,Southpaw,14.0,8.0,1.0,0.0
Andy,Anderson,The Hammer,167.64000000000001,240,0.0,0,0.0,1.0,0.0,0.0
Lowell,Anderson,0,167.64000000000001,160,0.0,Orthodox,0.0,1.0,0.0,0.0
Corey,Anderson,Overtime,190.5,205,200.66,Orthodox,14.0,5.0,0.0,0.0
Derek,Anderson,Barbaric,182.88,155,0.0,0,14.0,3.0,0.0,0.0
Megan,Anderson,0,182.88,145,182.88,Orthodox,11.0,5.0,0.0,0.0
Tatsuya,Ando,0,0.0,135,0.0,0,13.0,3.0,1.0,0.0
Alex,Andrade,El Toro,180.34,200,0.0,Orthodox,10.0,5.0,0.0,0.0
Jessica,Andrade,Bate Estaca,154.94,115,157.48,Orthodox,24.0,11.0,0.0,0.0
Viscardi,Andrade,0,180.34,170,190.5,Orthodox,19.0,6.0,0.0,0.0
Jermaine,Andre,0,170.18,200,0.0,Orthodox,14.0,4.0,0.0,0.0
Juan,Andres Luna,0,170.18,125,182.88,Orthodox,12.0,1.0,0.0,0.0
Fellipe,Andrew,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0
Dylan,Andrews,The Villain,185.42,185,187.96,Switch,18.0,7.0,0.0,0.0
Reese,Andy,Riptide,182.88,205,0.0,Orthodox,7.0,3.0,0.0,0.0
0,Angga,The Hitman,170.18,145,172.72,Orthodox,13.0,3.0,0.0,0.0
Julius,Anglickas,0,190.5,205,0.0,Orthodox,5.0,1.0,0.0,0.0
Collin,Anglin,0,175.26,145,180.34,Orthodox,8.0,3.0,0.0,0.0
Chad,Anheliger,The Monster,167.64000000000001,135,162.56,Orthodox,12.0,6.0,0.0,0.0
Yoji,Anjo,Mr. 200%,180.34,205,0.0,Orthodox,0.0,5.0,1.0,0.0
Magomed,Ankalaev,0,190.5,205,190.5,Orthodox,18.0,1.0,1.0,0.0
Gadzhimurad,Antigulov,0,180.34,205,177.8,Orthodox,20.0,8.0,0.0,0.0
Adam,Antolin,Captain Chaos,165.1,125,160.02,Orthodox,12.0,3.0,0.0,0.0
Angelo,Antonio,0,0.0,205,0.0,Orthodox,1.0,4.0,0.0,0.0
Azunna,Anyanwu,Zulu,185.42,251,0.0,Orthodox,14.0,5.0,0.0,0.0
Shinsho,Anzai,Animal,170.18,170,177.8,Orthodox,10.0,3.0,0.0,0.0
Shinya,Aoki,Tobikan Judan,180.34,154,0.0,Southpaw,39.0,7.0,0.0,0.0
0,Aoriqileng,The Mongolian Murderer,170.18,135,175.26,Orthodox,24.0,10.0,0.0,0.0
Josh,Appelt,0,177.8,255,0.0,Southpaw,15.0,7.0,0.0,0.0
Erik,Apple,0,182.88,170,0.0,Orthodox,10.0,3.0,0.0,0.0
Kenji,Arai,0,177.8,145,0.0,Southpaw,15.0,15.0,5.0,0.0
Romie,Aram,0,177.8,170,0.0,Orthodox,7.0,1.0,0.0,0.0
Felipe,Arantes,Sertanejo,172.72,135,185.42000000000002,Orthodox,18.0,10.0,1.0,0.0
Igor,Araujo,0,185.42,170,195.58,Orthodox,25.0,9.0,0.0,0.0
Viviane,Araujo,Vivi,162.56,125,172.72,Orthodox,11.0,5.0,0.0,0.0
Julio,Arce,0,170.18,135,177.8,Southpaw,18.0,6.0,0.0,0.0
Art,Arciniega,King Arthur,172.72,145,0.0,0,15.0,7.0,0.0,0.0
Tristan,Arenal,0,0.0,155,0.0,0,7.0,4.0,0.0,0.0
Gabriel,Arges,0,0.0,170,0.0,0,0.0,0.0,0.0,0.0
Dan,Argueta,The Determined,170.18,135,172.72,Southpaw,9.0,1.0,0.0,0.0
Reza,Arianto,The Crazy Lion,0.0,155,0.0,0,5.0,0.0,0.0,0.0
Hashem,Arkhagha,0,187.96,185,190.5,Orthodox,6.0,1.0,0.0,0.0
Andrei,Arlovski,The Pitbull,190.5,240,195.58,Orthodox,34.0,22.0,0.0,0.0
Garrett,Armfield,0,167.64000000000001,135,177.8,Orthodox,8.0,3.0,0.0,0.0
Joey,Armstrong,0,0.0,0,0.0,0,5.0,2.0,0.0,0.0
Austin,Arnett,0,182.88,145,182.88,Orthodox,16.0,6.0,0.0,0.0
Ricardo,Arona,The Brazilian Tiger,180.34,205,0.0,Orthodox,14.0,5.0,0.0,0.0
Eli,Aronov,The Israeli Tank,0.0,185,0.0,0,6.0,0.0,0.0,0.0
Chalid,Arrab,Die Faust,180.34,205,0.0,Orthodox,7.0,3.0,0.0,0.0
Akbarh,Arreola,El Caballero,177.8,155,180.34,Southpaw,23.0,11.0,1.0,0.0
Matt,Arroyo,No Regard,177.8,170,182.88,Orthodox,3.0,3.0,0.0,0.0
Antonio,Arroyo,0,190.5,185,185.42000000000002,Orthodox,9.0,5.0,0.0,0.0
Gilles,Arsene,0,175.26,190,0.0,Southpaw,1.0,1.0,0.0,0.0
Veta,Arteaga,0,170.18,125,0.0,0,3.0,1.0,0.0,0.0
Cesar,Arzamendia,Goku,180.34,155,0.0,Orthodox,8.0,3.0,0.0,0.0
Teddy,Ash,Bear,185.42,185,185.42000000000002,Switch,14.0,5.0,0.0,0.0
Arman,Ashimov,Mustafa Ozturik,167.64000000000001,125,0.0,0,11.0,3.0,1.0,0.0
Yanal,Ashmouz,Red Fox,175.26,155,172.72,Orthodox,7.0,1.0,0.0,0.0
0,Asjabharan,0,167.64000000000001,135,0.0,0,7.0,6.0,0.0,0.0
Askar,Askar,AK-47,170.18,145,175.26,Orthodox,11.0,1.0,0.0,0.0
Askar,Askarov,Bullet,167.64000000000001,125,170.18,Orthodox,14.0,1.0,1.0,0.0
Cyril,Asker,Silverback,182.88,247,187.96,Orthodox,9.0,4.0,0.0,0.0
Khusein,Askhabov,Nohcho,172.72,145,175.26,Orthodox,23.0,1.0,0.0,0.0
Scott,Askham,0,190.5,185,190.5,Southpaw,14.0,4.0,0.0,0.0
Ben,Askren,Funky,180.34,170,185.42000000000002,Orthodox,19.0,2.0,0.0,0.0
Ibo,Aslan,The Last Ottoman,190.5,205,0.0,0,8.0,0.0,0.0,0.0
Tom,Aspinall,0,195.57999999999998,256,198.12,Orthodox,13.0,3.0,0.0,0.0
Bruno,Assis,Brunao,187.96,185,0.0,Orthodox,8.0,4.0,0.0,0.0
Junior,Assuncao,0,175.26,145,182.88,Orthodox,16.0,6.0,0.0,0.0
Raphael,Assuncao,0,165.1,135,167.64000000000001,Orthodox,28.0,10.0,0.0,0.0
Bazigit,Atajev,Volk,185.42,230,0.0,Orthodox,17.0,1.0,0.0,0.0
Rich,Attonito,The Raging Bull,177.8,170,182.88,Orthodox,10.0,5.0,0.0,0.0
Olivier,Aubin-Mercier,The Canadian Gangster,175.26,155,177.8,Southpaw,11.0,5.0,0.0,0.0
Pat,Audinwood,Awesomely Awesome,182.88,155,0.0,Orthodox,11.0,2.0,1.0,0.0
Jose,Augusto,Gugu,190.5,251,0.0,0,6.0,2.0,0.0,0.0
Marcus,Aurelio,Maximus,177.8,155,187.96,Orthodox,22.0,10.0,0.0,0.0
David,Avellan,0,175.26,185,0.0,Orthodox,2.0,1.0,0.0,0.0
Blas,Avena,The Disciple,182.88,170,187.96,Orthodox,8.0,7.0,0.0,0.0
Levi,Avera,0,185.42,170,0.0,0,18.0,15.0,0.0,0.0
Anthony,Avila,0,170.18,145,0.0,0,13.0,5.0,0.0,0.0
Chris,Avila,0,177.8,145,0.0,Orthodox,5.0,4.0,0.0,0.0
Julia,Avila,Raging Panda,170.18,135,172.72,Orthodox,9.0,2.0,0.0,0.0
Saad,Awad,Assassin,180.34,155,0.0,0,20.0,9.0,0.0,0.0
Javy,Ayala,Eye Candy,185.42,265,0.0,0,10.0,5.0,0.0,0.0
Jessin,Ayari,0,182.88,155,185.42000000000002,Orthodox,16.0,6.0,0.0,0.0
Abu,Azaitar,Captain Morocco,175.26,185,193.04,Orthodox,14.0,3.0,1.0,0.0
Ottman,Azaitar,Bulldozer,172.72,155,180.34,Switch,13.0,2.0,0.0,0.0
Luiz,Azeredo,0,175.26,154,0.0,Orthodox,15.0,10.0,0.0,0.0
Luciano,Azevedo,0,190.5,161,0.0,Orthodox,17.0,9.0,1.0,0.0
Hunter,Azure,0,172.72,145,175.26,Orthodox,9.0,2.0,0.0,0.0
Niklas,Backstrom,0,185.42,145,0.0,Orthodox,11.0,3.0,0.0,0.0
Seth,Baczynski,The Polish Pistola,190.5,170,190.5,Orthodox,20.0,14.0,0.0,0.0
Abdul Azeem,Badakhshi,The Afghan Lion,0.0,145,0.0,0,13.0,3.0,0.0,0.0
Ryan,Bader,Darth,187.96,205,187.96,Orthodox,23.0,5.0,0.0,0.0
Izabela,Badurek,0,165.1,115,0.0,Orthodox,6.0,3.0,0.0,0.0
Miguel,Baeza,Caramel Thunder,187.96,170,187.96,Orthodox,10.0,3.0,0.0,0.0
Ali,Bagautinov,Puncher,162.56,125,165.1,Orthodox,15.0,6.0,0.0,0.0
Mehdi,Baghdad,The Sultan,185.42,155,0.0,Orthodox,11.0,5.0,0.0,0.0
Melsik,Baghdasaryan,The Gun,175.26,145,177.8,Southpaw,8.0,2.0,0.0,0.0
Siyar,Bahadurzada,The Great,180.34,170,185.42000000000002,Orthodox,24.0,8.0,1.0,0.0
Ignacio,Bahamondes,La Jaula,190.5,155,190.5,Orthodox,14.0,4.0,0.0,0.0
Bahatebole,Batebolati,0,180.34,155,180.34,Southpaw,8.0,1.0,1.0,0.0
Shamar,Bailey,0,175.26,155,190.5,Southpaw,16.0,11.0,0.0,0.0
Jordan,Bailey,0,175.26,145,0.0,0,6.0,3.0,0.0,0.0
Scott,Baker,0,182.88,210,0.0,0,1.0,1.0,0.0,0.0
Bryan,Baker,The Beast,190.5,185,0.0,Orthodox,18.0,5.0,0.0,0.0
Jin,Bala,0,175.26,155,0.0,0,23.0,3.0,0.0,0.0
0,Balajin,The Snow Leopard,175.26,145,182.88,Orthodox,23.0,4.0,0.0,0.0
Oluwale,Bamgbose,Holy War Angel,180.34,185,198.12,Switch,6.0,4.0,0.0,0.0
Stephen,Banaszak,0,182.88,145,0.0,0,5.0,5.0,0.0,0.0
Marcin,Bandel,Bomba,177.8,155,0.0,Orthodox,15.0,7.0,0.0,0.0
Humberto,Bandenay,0,180.34,145,180.34,Southpaw,14.0,7.0,0.0,0.0
Tae Hyun,Bang,Supernatural,175.26,155,180.34,Switch,18.0,10.0,0.0,0.0
Yohan,Banks,0,0.0,0,0.0,0,2.0,1.0,0.0,0.0
Shauna,Bannon,Mama B,165.1,115,165.1,Switch,5.0,1.0,0.0,0.0
Antonio,Banuelos,0,165.1,135,160.02,Orthodox,20.0,11.0,1.0,0.0
Renan,Barao,The Baron,167.64000000000001,145,177.8,Orthodox,34.0,9.0,0.0,0.0
Junior,Barata,0,177.8,170,0.0,Orthodox,9.0,3.0,1.0,0.0
Maycee,Barber,The Future,165.1,125,165.1,Switch,13.0,2.0,0.0,0.0
Bryan,Barberena,Bam Bam,182.88,170,182.88,Southpaw,18.0,11.0,0.0,0.0
Edson,Barboza,Junior,180.34,145,190.5,Orthodox,23.0,11.0,0.0,0.0
Raoni,Barcelos,0,170.18,135,170.18,Orthodox,17.0,4.0,0.0,0.0
Daniel,Barez,0,167.64000000000001,125,167.64000000000001,Orthodox,16.0,6.0,0.0,0.0
Danny,Barlow,LeftHand2God,0.0,170,0.0,0,6.0,0.0,0.0,0.0
Luke,Barnatt,The Bigslow,198.12,185,195.58,Orthodox,13.0,4.0,0.0,0.0
James,Barnes,Mooka,172.72,135,180.34,Orthodox,14.0,5.0,0.0,0.0
Nick,Barnes,0,180.34,170,0.0,0,11.0,2.0,0.0,0.0
Shonte,Barnes,Shyne,180.34,185,193.04,Southpaw,6.0,2.0,1.0,0.0
Josh,Barnett,The Warmaster,190.5,250,198.12,Orthodox,35.0,8.0,0.0,0.0
Chris,Barnett,Beastboy,175.26,265,190.5,Orthodox,23.0,8.0,0.0,0.0
Chris,Barnhizer,0,0.0,0,0.0,0,2.0,3.0,0.0,0.0
David,Baron,0,167.64000000000001,155,0.0,Switch,17.0,4.0,1.0,0.0
Phil,Baroni,The New York Bad Ass,175.26,170,182.88,Orthodox,15.0,18.0,0.0,0.0
Dan,Barrera,The Fireman,175.26,170,0.0,Orthodox,3.0,1.0,0.0,0.0
Carlos,Barreto,0,193.04,230,0.0,Orthodox,14.0,9.0,0.0,0.0
Jose,Barreto,0,0.0,185,0.0,Southpaw,0.0,1.0,0.0,0.0
Peter,Barrett,Slippery,177.8,145,185.42000000000002,Southpaw,11.0,5.0,0.0,0.0
Marc-Andre,Barriault,Powerbar,185.42,185,187.96,Orthodox,16.0,6.0,0.0,0.0
David,Barrios,0,167.64000000000001,145,0.0,0,4.0,8.0,0.0,0.0
Alexandre,Barros,Baixinho,175.26,170,0.0,Southpaw,22.0,11.0,0.0,0.0
Ricardo,Barros,0,185.42,205,0.0,0,2.0,2.0,0.0,0.0
Francimar,Barroso,Bodao,185.42,205,190.5,Orthodox,19.0,7.0,0.0,0.0
Pat,Barry,HD,180.34,235,187.96,Orthodox,8.0,7.0,0.0,0.0
Dean,Barry,The Sniper,177.8,170,182.88,Orthodox,4.0,2.0,0.0,0.0
Enrique,Barzola,El Fuerte,170.18,145,177.8,Orthodox,17.0,5.0,2.0,0.0
Javid,Basharat,The Snow Leopard,175.26,135,175.26,Orthodox,14.0,0.0,0.0,0.0
Farid,Basharat,Ferocious,172.72,135,180.34,Orthodox,10.0,0.0,0.0,0.0
Stephen,Bass,Bigfish,175.26,145,0.0,Orthodox,11.0,2.0,0.0,0.0
Sean,Bassett,0,0.0,155,0.0,0,0.0,4.0,0.0,0.0
Ryan,Bastianelli,Relentless,165.1,135,0.0,0,6.0,7.0,0.0,0.0
Shayna,Baszler,The Queen of Spades,170.18,135,0.0,Orthodox,15.0,11.0,0.0,0.0
Michel,Batista,0,190.5,260,0.0,Orthodox,4.0,1.0,0.0,0.0
Bryan,Battle,Pooh Bear,185.42,170,195.58,Orthodox,10.0,2.0,0.0,0.0
Alan,Baudot,The Black Samourai,190.5,243,200.66,Orthodox,8.0,4.0,0.0,0.0
Mario,Bautista,0,175.26,135,175.26,Switch,12.0,2.0,0.0,0.0
Chris,Beal,Real Deal,170.18,125,175.26,Orthodox,10.0,5.0,0.0,0.0
Donovan,Beard,The Highlight Reel,187.96,185,198.12,Orthodox,7.0,2.0,0.0,0.0
Rudy,Bears,0,180.34,170,0.0,Southpaw,16.0,15.0,0.0,0.0
Salvador,Becerra,0,175.26,155,0.0,0,5.0,2.0,0.0,0.0
Ariel,Beck,0,167.64000000000001,125,167.64000000000001,Southpaw,4.0,5.0,0.0,0.0
Jeff,Bedard,Little Popeye,167.64000000000001,145,0.0,Orthodox,13.0,3.0,0.0,0.0
Eric,Bedard,Lucky Strikes,187.96,239,0.0,0,6.0,7.0,0.0,0.0
Johnny,Bedford,Brutal,177.8,135,180.34,Orthodox,21.0,13.0,1.0,0.0
Rolando,Bedoya,The Machine,180.34,170,187.96,Orthodox,14.0,2.0,0.0,0.0
Chase,Beebe,0,170.18,135,170.18,Orthodox,24.0,13.0,1.0,0.0
Lyle,Beerbohm,Fancy Pants,177.8,155,0.0,Southpaw,24.0,3.0,0.0,0.0
Allan,Begosso,Mini,165.1,135,167.64000000000001,Orthodox,7.0,2.0,1.0,0.0
Mirsad,Bektic,0,172.72,145,177.8,Orthodox,13.0,4.0,0.0,0.0
Diana,Belbita,The Warrior Princess,170.18,115,172.72,Orthodox,15.0,7.0,0.0,0.0
Alan,Belcher,The Talent,187.96,185,190.5,Orthodox,18.0,8.0,0.0,0.0
Vitor,Belfort,The Phenom,182.88,185,187.96,Southpaw,26.0,14.0,0.0,0.0
Yousri,Belgaroui,Baby Face Assassin,0.0,185,0.0,0,5.0,2.0,0.0,0.0
Rodolfo,Bellato,Trator,190.5,205,190.5,Orthodox,8.0,2.0,0.0,0.0
Danilo,Belluardo,Caterpillar,182.88,155,187.96,Southpaw,12.0,5.0,0.0,0.0
Joey,Beltran,The Mexicutioner,185.42,185,190.5,Orthodox,17.0,14.0,0.0,0.0
Marco,Beltran,Psycho,172.72,125,175.26,Orthodox,8.0,6.0,0.0,0.0
Joseph,Benavidez,0,162.56,125,165.1,Southpaw,28.0,8.0,0.0,0.0
Mike,Bencic,Batman,182.88,215,0.0,Orthodox,1.0,2.0,0.0,0.0
Dave,Beneteau,Dangerous,187.96,250,0.0,Orthodox,6.0,5.0,1.0,0.0
Karla,Benitez,0,160.02,113,0.0,0,14.0,11.0,1.0,0.0
