First,Last,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt
Steve,Byrnes,The Sergeant,"6' 0\"",170 lbs.,--,Orthodox,6.0,1.0,0.0,
Michael,Byrnes,,"5' 11\"",155 lbs.,--,,5.0,3.0,0.0,
Yan,Cabral,,"5' 11\"",155 lbs.,"73.0\"",Orthodox,13.0,3.0,0.0,
Alvin,Cacdac,,"5' 6\"",125 lbs.,--,Orthodox,18.0,13.0,0.0,
Alex,Caceres,Bruce Leeroy,"5' 10\"",145 lbs.,"73.0\"",Southpaw,21.0,13.0,0.0,
Vince,Cachero,The Anomaly,"5' 6\"",145 lbs.,"68.0\"",Orthodox,7.0,4.0,0.0,
Priscila,Cachoeira,Zombie Girl,"5' 7\"",125 lbs.,"65.0\"",Orthodox,12.0,4.0,0.0,
Travis,Calanoc,The Dark Knight,"5' 8\"",145 lbs.,--,Orthodox,5.0,1.0,0.0,
Ricky,Calatayud,,"5' 9\"",125 lbs.,--,,16.0,2.0,0.0,
Darrion,Caldwell,The Wolf,"5' 10\"",135 lbs.,--,,10.0,1.0,0.0,
Taylor,Callens,,"5' 10\"",155 lbs.,--,,6.0,0.0,0.0,
Cynthia,Calvillo,,"5' 4\"",115 lbs.,"64.0\"",Orthodox,9.0,6.0,1.0,
Joe,Camacho,,"5' 9\"",155 lbs.,--,Orthodox,13.0,19.0,3.0,
Frank,Camacho,The Crank,"5' 10\"",155 lbs.,"73.0\"",Orthodox,22.0,10.0,0.0,
Fabricio,Camoes,Morango,"5' 10\"",155 lbs.,"71.0\"",Orthodox,14.0,9.0,1.0,
Chris,Camozzi,,"6' 2\"",185 lbs.,"75.0\"",Orthodox,24.0,13.0,0.0,
Brian,Camozzi,Mantis,"6' 2\"",170 lbs.,"78.0\"",Orthodox,7.0,5.0,0.0,
Ricky,Camp,2 Slick,"5' 7\"",135 lbs.,--,,11.0,4.0,0.0,
Mike,Campbell,The Beast,"5' 9\"",155 lbs.,--,Southpaw,13.0,4.0,0.0,
Thomas,Campbell,,--,--,--,,3.0,3.0,0.0,
Shane,Campbell,Shaolin,"6' 0\"",155 lbs.,"71.0\"",Orthodox,14.0,6.0,0.0,
Charlie,Campbell,The Cannibal,"6' 0\"",155 lbs.,--,Orthodox,6.0,2.0,0.0,
John,Campetella,,"5' 9\"",235 lbs.,--,Orthodox,0.0,1.0,0.0,
Wagner,Campos,Galeto,"5' 6\"",145 lbs.,--,Southpaw,12.0,10.0,0.0,
Derek,Campos,The Stallion,"5' 9\"",155 lbs.,--,,19.0,6.0,0.0,
Will,Campuzano,,"5' 9\"",125 lbs.,"70.0\"",Orthodox,14.0,6.0,0.0,
Aleksa,Camur,,"6' 1\"",205 lbs.,"74.0\"",Orthodox,6.0,2.0,0.0,
Chico,Camus,The King,"5' 6\"",125 lbs.,"66.0\"",Orthodox,17.0,7.0,0.0,
Asbel,Cancio,,"5' 10\"",225 lbs.,--,,0.0,1.0,0.0,
Carlos,Candelario,The Cannon,"5' 8\"",125 lbs.,"68.0\"",Southpaw,8.0,3.0,0.0,
Ronaldo,Candido,Pacman,"5' 6\"",125 lbs.,--,Southpaw,6.0,0.0,0.0,
Luiz,Cane,Banha,"6' 2\"",185 lbs.,"77.0\"",Southpaw,17.0,7.0,0.0,
Guido,Cannetti,Ninja,"5' 6\"",135 lbs.,"68.0\"",Southpaw,10.0,8.0,0.0,
Jared,Cannonier,The Killa Gorilla,"5' 11\"",185 lbs.,"77.0\"",Switch,17.0,6.0,0.0,
Jose,Canseco,,"6' 4\"",240 lbs.,--,Orthodox,0.0,1.0,0.0,
Cody,Canterbury,,"5' 8\"",155 lbs.,--,,1.0,10.0,0.0,
Bo,Cantrell,Redrum,"6' 2\"",235 lbs.,--,Orthodox,10.0,10.0,0.0,
Steve,Cantwell,The Robot,"6' 2\"",185 lbs.,"75.0\"",Orthodox,7.0,6.0,0.0,
Paul,Capaldo,,"5' 7\"",135 lbs.,--,,6.0,0.0,0.0,
Phil,Caracappa,The Hitman,"5' 8\"",135 lbs.,"70.0\"",Orthodox,6.0,1.0,0.0,
Frank,Caracci,,--,--,--,,2.0,3.0,0.0,
Gina,Carano,Conviction,"5' 8\"",145 lbs.,--,Orthodox,7.0,1.0,0.0,
Dos,Caras Jr.,,"6' 4\"",225 lbs.,--,Orthodox,9.0,5.0,0.0,
Bryan,Caraway,Kid Lightning,"5' 8\"",135 lbs.,"68.0\"",Orthodox,21.0,9.0,0.0,
Remo,Cardarelli,,--,135 lbs.,--,,7.0,5.0,0.0,
Phil,Cardella,,"5' 11\"",155 lbs.,--,,8.0,5.0,0.0,
Edgar,Cardenas,Kitty Katt,--,145 lbs.,--,,4.0,1.0,0.0,
Chris,Cariaso,Kamikaze,"5' 3\"",125 lbs.,"64.0\"",Southpaw,17.0,8.0,0.0,
Ronald,Carillo,,--,125 lbs.,--,,4.0,2.0,0.0,
Rafael,Carino,,"6' 8\"",245 lbs.,--,Orthodox,2.0,1.0,1.0,
Don,Carlo-Clauss,,--,170 lbs.,--,,10.0,7.0,0.0,
Antonio,Carlos Junior,Cara de Sapato,"6' 2\"",185 lbs.,"79.0\"",Orthodox,11.0,5.0,0.0,
Spike,Carlyle,Alpha Ginger,"5' 8\"",145 lbs.,"71.0\"",Switch,9.0,3.0,0.0,
Francis,Carmont,Limitless,"6' 3\"",205 lbs.,"78.0\"",Orthodox,25.0,12.0,0.0,
Liz,Carmouche,Girlrilla,"5' 6\"",125 lbs.,"66.0\"",Orthodox,13.0,7.0,0.0,
Roan,Carneiro,Jucao,"5' 11\"",170 lbs.,"76.0\"",Orthodox,21.0,11.0,0.0,
Ariane,Carnelossi,Sorriso,"5' 2\"",115 lbs.,"61.0\"",Orthodox,14.0,3.0,0.0,
Luana,Carolina,Dread,"5' 6\"",125 lbs.,"69.0\"",Orthodox,9.0,4.0,0.0,
Tim,Caron,The Bear,"6' 1\"",185 lbs.,--,Orthodox,7.0,1.0,0.0,
Clayton,Carpenter,,"5' 6\"",125 lbs.,"66.0\"",Orthodox,7.0,0.0,0.0,
Gabriel,Carrasco,,"5' 6\"",135 lbs.,--,,7.0,0.0,0.0,
Cody,Carrillo,,"5' 10\"",155 lbs.,--,,11.0,16.0,0.0,
Cain,Carrizosa,The Insane,"5' 8\"",155 lbs.,--,Orthodox,10.0,3.0,0.0,
Roger,Carroll,The Leprechaun,"5' 10\"",170 lbs.,--,,16.0,14.0,0.0,
Jonny,Carson,,"5' 10\"",155 lbs.,--,,11.0,7.0,0.0,
Scott,Carson,,"6' 2\"",215 lbs.,--,,4.0,2.0,0.0,
Shonie,Carter,Mr. International,"5' 10\"",170 lbs.,--,Southpaw,51.0,31.0,7.0,
Jack,Cartwright,,"5' 9\"",135 lbs.,"68.0\"",Orthodox,10.0,1.0,0.0,
Bruno,Carvalho,,"5' 8\"",154 lbs.,--,,10.0,5.0,0.0,
Antonio,Carvalho,Pato,"5' 9\"",145 lbs.,"70.0\"",Orthodox,15.0,6.0,0.0,
Rafael,Carvalho,,"6' 3\"",185 lbs.,--,,14.0,1.0,0.0,
Shane,Carwin,The Engineer,"6' 2\"",265 lbs.,"80.0\"",Orthodox,12.0,2.0,0.0,
Johnny,Case,Hollywood,"5' 10\"",155 lbs.,"72.0\"",Orthodox,22.0,6.0,0.0,
Kevin,Casey,King,"5' 11\"",185 lbs.,"77.0\"",Southpaw,9.0,5.0,2.0,
Cortney,Casey,Cast Iron,"5' 7\"",125 lbs.,"67.0\"",Orthodox,10.0,10.0,0.0,
